,day,description,rooms,m2,bathrooms,price,links
60,2023-12-29,"2-room flat via Serviliano Lattuada 9, Porta Romana - Medaglie d'Oro, Milan",2,55m²,1,"€ 610,000",https://www.immobiliare.it/en/annunci/107843667/
61,2023-12-29,"2-room flat via Andrea Palladio 18, Porta Romana - Medaglie d'Oro, Milan",2,63m²,1,"€ 579,000",https://www.immobiliare.it/en/annunci/107838119/
62,2023-12-29,"4-room flat via Carlo Botta 16, Porta Romana - Medaglie d'Oro, Milan",4,123m²,2,"€ 579,000",https://www.immobiliare.it/en/annunci/107843991/
63,2023-12-29,"2-room flat via Giacomo Pinaroli 3, Cadore, Milan",2,62m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/107839755/
64,2023-12-29,"2-room flat via Giulio Romano, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 355,000",https://www.immobiliare.it/en/annunci/107835305/
65,2023-12-29,"2-room flat excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/107841481/
66,2023-12-29,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3,70m²,1,"€ 478,000",https://www.immobiliare.it/en/annunci/107805221/
67,2023-12-29,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3,65m²,1,"€ 478,000",https://www.immobiliare.it/en/annunci/107805205/
68,2023-12-29,"2-room flat via Perugino 24, Cadore, Milan",2,70m²,1,"€ 440,000",https://www.immobiliare.it/en/annunci/107804663/
69,2023-12-29,"3-room flat via Angelo Maj 7, Cadore, Milan",3,75m²,1,"€ 249,000",https://www.immobiliare.it/en/annunci/107804305/
70,2023-12-29,"2-room flat via Friuli 32, Porta Romana - Medaglie d'Oro, Milan",2,52m²,1,"€ 319,000",https://www.immobiliare.it/en/annunci/107804603/
71,2023-12-29,"Studio viale Umbria, Martini - Insubria, Milan",1,25m²,1,"€ 220,000",https://www.immobiliare.it/en/annunci/108183415/
72,2023-12-29,"2-room flat via Perugino, Cadore, Milan",2,45m²,1,"€ 410,000",https://www.immobiliare.it/en/annunci/107789009/
73,2023-12-29,"Studio good condition, first floor, Porta Romana - Medaglie d'Oro, Milan",1,43m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/107772057/
74,2023-12-29,"2-room flat via Paullo 2, Cadore, Milan",2,33m²,1,"€ 299,000",https://www.immobiliare.it/en/annunci/108034179/
75,2023-12-29,"Penthouse via Augusto Anfossi, Cadore, Milan",5,260m²,3+,Price on application,https://www.immobiliare.it/en/annunci/107777593/
76,2023-12-29,"2-room flat excellent condition, first floor, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/107775249/
77,2023-12-29,"2-room flat via Perugino 8, Cadore, Milan",2,40m²,1,"€ 270,000€ 298,000(-9.4%)",https://www.immobiliare.it/en/annunci/107745983/
78,2023-12-29,"3-room flat via Antonio Fogazzaro 31, Cadore, Milan",3,110m²,2,"€ 695,000",https://www.immobiliare.it/en/annunci/107752269/
79,2023-12-29,"2-room flat viale Monte Nero 8, Porta Romana - Medaglie d'Oro, Milan",2,95m²,2,"€ 419,000",https://www.immobiliare.it/en/annunci/107758557/
80,2023-12-29,"3-room flat via Simone d'Orsenigo 2, Cadore, Milan",3,100m²,2,"€ 735,500",https://www.immobiliare.it/en/annunci/107724909/
81,2023-12-29,"Studio via Maestri Campionesi 16, Cadore, Milan",1,45m²,1,"€ 380,000",https://www.immobiliare.it/en/annunci/107718531/
82,2023-12-29,"3-room flat via Simone D Orsenigo, Cadore, Milan",3,95m²,2,"€ 775,000",https://www.immobiliare.it/en/annunci/108305529/
83,2023-12-29,"3-room flat via Friuli, Cadore, Milan",3,120m²,1,"€ 825,000",https://www.immobiliare.it/en/annunci/108305667/
84,2023-12-29,"3-room flat via Spartaco, Cadore, Milan",3,90m²,1,"€ 748,000",https://www.immobiliare.it/en/annunci/108305729/
85,2023-12-29,"3-room flat via Simone D Orsenigo, Cadore, Milan",3,95m²,1,"€ 776,000",https://www.immobiliare.it/en/annunci/108306157/
86,2023-12-29,"3-room flat via Cadore, Cadore, Milan",3,100m²,1,"€ 830,000",https://www.immobiliare.it/en/annunci/108306205/
87,2023-12-29,"3-room flat via Cadore, Cadore, Milan",3,100m²,1,"€ 745,000",https://www.immobiliare.it/en/annunci/108306111/
88,2023-12-29,"2-room flat viale Sabotino 7, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108127143/
89,2023-12-29,"2-room flat viale Sabotino 16, Porta Romana - Medaglie d'Oro, Milan",2,66m²,1,"€ 479,000",https://www.immobiliare.it/en/annunci/107703719/
90,2023-12-29,"2-room flat via Spartaco, Montenero, Milan",2,90m²,1,"€ 550,000",https://www.immobiliare.it/en/annunci/107683021/
91,2023-12-29,"3-room flat corso Lodi 34, Porta Romana - Medaglie d'Oro, Milan",3,90m²,1,"€ 599,000",https://www.immobiliare.it/en/annunci/107642613/
92,2023-12-29,"3-room flat viale Umbria 25, Porta Romana - Medaglie d'Oro, Milan",3,75m²,1,"€ 465,000",https://www.immobiliare.it/en/annunci/107643799/
93,2023-12-29,"Studio via San Rocco 20, Porta Romana - Medaglie d'Oro, Milan",1,60m²,1,"€ 450,000",https://www.immobiliare.it/en/annunci/107653099/
94,2023-12-29,"Penthouse via Giuseppe Ripamonti 3, Porta Romana - Medaglie d'Oro, Milan",3,115m²,2,"€ 975,000",https://www.immobiliare.it/en/annunci/107655379/
95,2023-12-29,"2-room flat via Cadore, Cadore, Milan",2,80m²,2,"€ 460,000",https://www.immobiliare.it/en/annunci/107640883/
96,2023-12-29,"Apartment piazzale Libia, Cadore, Milan",5,190m²,3,"€ 1,280,000",https://www.immobiliare.it/en/annunci/108329803/
97,2023-12-29,"Apartment good condition, second floor, Porta Romana - Medaglie d'Oro, Milan",5,190m²,3,"€ 1,280,000",https://www.immobiliare.it/en/annunci/108329817/
98,2023-12-29,"4-room flat via Friuli 3, Porta Romana - Medaglie d'Oro, Milan",4,105m²,2,"€ 770,000",https://www.immobiliare.it/en/annunci/107949625/
99,2023-12-29,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2,39m²,1,"€ 320,000",https://www.immobiliare.it/en/annunci/107604479/
100,2023-12-29,"2-room flat via Friuli 23, Porta Romana - Medaglie d'Oro, Milan",2,35m²,1,"€ 310,000",https://www.immobiliare.it/en/annunci/107604515/
101,2023-12-29,"4-room flat via Lodovico Muratori 9, Porta Romana - Medaglie d'Oro, Milan",4,115m²,1,"€ 870,000",https://www.immobiliare.it/en/annunci/107615533/
102,2023-12-29,"4-room flat via Gerolamo Tiraboschi, Porta Romana - Medaglie d'Oro, Milan",4,121m²,2,"€ 770,000€ 820,000(-6.1%)",https://www.immobiliare.it/en/annunci/107593253/
103,2023-12-29,"4-room flat good condition, Porta Romana - Medaglie d'Oro, Milan",4,111m²,1,"€ 870,000",https://www.immobiliare.it/en/annunci/107594989/
104,2023-12-29,"3-room flat via Emilio Morosini 45, Cadore, Milan",3,124m²,1,"€ 749,000",https://www.immobiliare.it/en/annunci/107584621/
