day,district,description,rooms,m2,bathrooms,price,links,house_id,m2-€
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat corso Lodi 34, Porta Romana - Medaglie d'Oro, Milan",3.0,90.0,1.0,599000.0,https://www.immobiliare.it/en/annunci/107642613/,107642613,6655.555555555556
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 25, Porta Romana - Medaglie d'Oro, Milan",3.0,75.0,1.0,465000.0,https://www.immobiliare.it/en/annunci/107643799/,107643799,6200.0
2024-01-13,porta-romana-medaglie-d-oro,"Studio via San Rocco 20, Porta Romana - Medaglie d'Oro, Milan",1.0,60.0,1.0,450000.0,https://www.immobiliare.it/en/annunci/107653099/,107653099,7500.0
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse via Giuseppe Ripamonti 3, Porta Romana - Medaglie d'Oro, Milan",3.0,115.0,2.0,975000.0,https://www.immobiliare.it/en/annunci/107655379/,107655379,8478.260869565218
2024-01-13,porta-romana-medaglie-d-oro,"Apartment good condition, second floor, Porta Romana - Medaglie d'Oro, Milan",5.0,190.0,3.0,1280000.0,https://www.immobiliare.it/en/annunci/108440119/,108440119,6736.8421052631575
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Friuli 3, Porta Romana - Medaglie d'Oro, Milan",4.0,105.0,2.0,770000.0,https://www.immobiliare.it/en/annunci/107949625/,107949625,7333.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Lodovico Muratori 9, Porta Romana - Medaglie d'Oro, Milan",4.0,115.0,1.0,870000.0,https://www.immobiliare.it/en/annunci/107615533/,107615533,7565.217391304348
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Gerolamo Tiraboschi, Porta Romana - Medaglie d'Oro, Milan",4.0,121.0,2.0,770000.0,https://www.immobiliare.it/en/annunci/107593253/,107593253,6363.636363636364
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat good condition, Porta Romana - Medaglie d'Oro, Milan",4.0,111.0,1.0,870000.0,https://www.immobiliare.it/en/annunci/107594989/,107594989,7837.8378378378375
2024-01-13,porta-romana-medaglie-d-oro,"Studio via Atto Vannucci 10, Porta Romana - Medaglie d'Oro, Milan",1.0,25.0,1.0,195000.0,https://www.immobiliare.it/en/annunci/107586535/,107586535,7800.0
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Tiraboschi, 2, Porta Romana - Medaglie d'Oro, Milan",3.0,90.0,2.0,687000.0,https://www.immobiliare.it/en/annunci/107595419/,107595419,7633.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Tiraboschi, 2, Porta Romana - Medaglie d'Oro, Milan",3.0,90.0,2.0,687000.0,https://www.immobiliare.it/en/annunci/108340353/,108340353,7633.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2.0,91.0,1.0,595000.0,https://www.immobiliare.it/en/annunci/107557151/,107557151,6538.461538461538
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",2.0,75.0,1.0,560000.0,https://www.immobiliare.it/en/annunci/107545857/,107545857,7466.666666666667
2024-01-13,porta-romana-medaglie-d-oro,"Studio excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",1.0,25.0,1.0,215000.0,https://www.immobiliare.it/en/annunci/107522193/,107522193,8600.0
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",3.0,83.0,1.0,620000.0,https://www.immobiliare.it/en/annunci/108031337/,108031337,7469.879518072289
2024-01-13,porta-romana-medaglie-d-oro,"Penthouse viale Isonzo 60, Porta Romana - Medaglie d'Oro, Milan",3.0,83.0,1.0,620000.0,https://www.immobiliare.it/en/annunci/108485017/,108485017,7469.879518072289
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",3.0,85.0,1.0,515000.0,https://www.immobiliare.it/en/annunci/107474029/,107474029,6058.823529411765
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",3.0,160.0,3.0,1550000.0,https://www.immobiliare.it/en/annunci/107471741/,107471741,9687.5
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",3.0,100.0,2.0,1000000.0,https://www.immobiliare.it/en/annunci/107463307/,107463307,10000.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Mantova, Porta Romana - Medaglie d'Oro, Milan",2.0,50.0,1.0,470000.0,https://www.immobiliare.it/en/annunci/108538907/,108538907,9400.0
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Emilio Caldara 13, Quadronno - Crocetta, Milan",2.0,70.0,1.0,650000.0,https://www.immobiliare.it/en/annunci/107426885/,107426885,9285.714285714286
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Lodovico Muratori 54, Porta Romana - Medaglie d'Oro, Milan",2.0,54.0,1.0,265000.0,https://www.immobiliare.it/en/annunci/107395663/,107395663,4907.407407407408
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Umbria, Porta Romana - Medaglie d'Oro, Milan",2.0,50.0,1.0,350000.0,https://www.immobiliare.it/en/annunci/107399771/,107399771,7000.0
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Giuseppe Ripamonti 2, Bocconi, Milan",4.0,110.0,2.0,870000.0,https://www.immobiliare.it/en/annunci/107360605/,107360605,7909.090909090909
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Sabotino, Porta Romana - Medaglie d'Oro, Milan",3.0,100.0,1.0,595000.0,https://www.immobiliare.it/en/annunci/108610539/,108610539,5950.0
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat excellent condition, second floor, Porta Romana - Medaglie d'Oro, Milan",4.0,150.0,2.0,860000.0,https://www.immobiliare.it/en/annunci/108522641/,108522641,5733.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat viale Sabotino 6, Porta Romana - Medaglie d'Oro, Milan",4.0,160.0,2.0,1600000.0,https://www.immobiliare.it/en/annunci/107287737/,107287737,10000.0
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat excellent condition, second floor, Porta Romana - Medaglie d'Oro, Milan",4.0,150.0,2.0,850000.0,https://www.immobiliare.it/en/annunci/108522587/,108522587,5666.666666666667
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat viale Cirene 18, Porta Romana - Medaglie d'Oro, Milan",4.0,163.0,2.0,1438000.0,https://www.immobiliare.it/en/annunci/107257385/,107257385,8822.085889570551
2024-01-13,porta-romana-medaglie-d-oro,"Loft via San Rocco, Porta Romana - Medaglie d'Oro, Milan",3.0,98.0,2.0,645000.0,https://www.immobiliare.it/en/annunci/108410363/,108410363,6581.632653061224
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat viale Cirene, Porta Romana - Medaglie d'Oro, Milan",2.0,62.0,1.0,338000.0,https://www.immobiliare.it/en/annunci/107184829/,107184829,5451.612903225807
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Emilio Caldara, Porta Romana - Medaglie d'Oro, Milan",3.0,110.0,1.0,790000.0,https://www.immobiliare.it/en/annunci/107188623/,107188623,7181.818181818182
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Pietro Colletta 18, Porta Romana - Medaglie d'Oro, Milan",3.0,86.0,1.0,459000.0,https://www.immobiliare.it/en/annunci/107965665/,107965665,5337.209302325581
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 21, Porta Romana - Medaglie d'Oro, Milan",3.0,70.0,1.0,475000.0,https://www.immobiliare.it/en/annunci/108407531/,108407531,6785.714285714285
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Verona 11, Porta Romana - Medaglie d'Oro, Milan",4.0,158.0,3.0,1290000.0,https://www.immobiliare.it/en/annunci/107032213/,107032213,8164.556962025316
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat piazzale Libia 5, Porta Romana - Medaglie d'Oro, Milan",4.0,225.0,2.0,1290000.0,https://www.immobiliare.it/en/annunci/107019639/,107019639,5733.333333333333
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Verona, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,275000.0,https://www.immobiliare.it/en/annunci/107040791/,107040791,6111.111111111111
2024-01-13,porta-romana-medaglie-d-oro,"Building via Verona 9, Porta Romana - Medaglie d'Oro, Milan",,,,2700000.0,https://www.immobiliare.it/en/annunci/107031159/,107031159,
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Cirene 22, Porta Romana - Medaglie d'Oro, Milan",3.0,90.0,1.0,560000.0,https://www.immobiliare.it/en/annunci/108491793/,108491793,6222.222222222223
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat corso Lodi, Porta Romana - Medaglie d'Oro, Milan",2.0,95.0,2.0,465000.0,https://www.immobiliare.it/en/annunci/106952569/,106952569,4894.736842105263
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat via Gerolamo Tiraboschi 6, Porta Romana - Medaglie d'Oro, Milan",3.0,80.0,1.0,780000.0,https://www.immobiliare.it/en/annunci/106889543/,106889543,9750.0
2024-01-13,porta-romana-medaglie-d-oro,"Attic via Piacenza 8, Porta Romana - Medaglie d'Oro, Milan",2.0,65.0,1.0,199000.0,https://www.immobiliare.it/en/annunci/108126277/,108126277,3061.5384615384614
2024-01-13,porta-romana-medaglie-d-oro,"Loft Vicinanze piazza Medaglie D'Oro, Porta Romana - Medaglie d'Oro, Milan",2.0,45.0,1.0,395000.0,https://www.immobiliare.it/en/annunci/108610529/,108610529,8777.777777777777
2024-01-13,porta-romana-medaglie-d-oro,"Loft Vicinanze piazzale Libia, Porta Romana - Medaglie d'Oro, Milan",2.0,58.0,1.0,369000.0,https://www.immobiliare.it/en/annunci/108610559/,108610559,6362.068965517241
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat piazza Medaglie D'Oro, Porta Romana - Medaglie d'Oro, Milan",4.0,140.0,2.0,1050000.0,https://www.immobiliare.it/en/annunci/108610543/,108610543,7500.0
2024-01-13,porta-romana-medaglie-d-oro,"Loft via Crema, Porta Romana - Medaglie d'Oro, Milan",4.0,420.0,3.0,2100000.0,https://www.immobiliare.it/en/annunci/107056797/,107056797,5000.0
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat viale Monte Nero 28, Porta Romana - Medaglie d'Oro, Milan",3.0,110.0,2.0,,https://www.immobiliare.it/en/annunci/106781871/,106781871,
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat piazzale Lodi, Lodi - Brenta, Milan",2.0,60.0,1.0,495000.0,https://www.immobiliare.it/en/annunci/106781247/,106781247,8250.0
2024-01-13,porta-romana-medaglie-d-oro,"3-room flat corso Lodi 38, Porta Romana - Medaglie d'Oro, Milan",3.0,102.0,1.0,750000.0,https://www.immobiliare.it/en/annunci/107963263/,107963263,7352.941176470588
2024-01-13,porta-romana-medaglie-d-oro,"2-room flat via Crema 31, Porta Romana - Medaglie d'Oro, Milan",2.0,80.0,2.0,470000.0,https://www.immobiliare.it/en/annunci/108567365/,108567365,5875.0
2024-01-13,porta-romana-medaglie-d-oro,"4-room flat via Sigieri 11, Porta Romana - Medaglie d'Oro, Milan",4.0,170.0,3.0,1100000.0,https://www.immobiliare.it/en/annunci/106750495/,106750495,6470.588235294118
