day,district,description,rooms,m2,bathrooms,price,links,house_id
2024-01-03,porta-romana-medaglie-d-oro,"Attic via Trebbia 33, Porta Romana - Medaglie d'Oro, Milan",1,32m²,1,"€ 227,000",https://www.immobiliare.it/en/annunci/107945363/,107945363
2024-01-03,porta-romana-medaglie-d-oro,"3-room flat via filippetti, Porta Romana - Medaglie d'Oro, Milan",3,110m²,1,"€ 580,000",https://www.immobiliare.it/en/annunci/107924723/,107924723
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat via Serviliano Lattuada 9, Porta Romana - Medaglie d'Oro, Milan",2,55m²,1,"€ 610,000",https://www.immobiliare.it/en/annunci/107843667/,107843667
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat via Andrea Palladio 18, Porta Romana - Medaglie d'Oro, Milan",2,63m²,1,"€ 579,000",https://www.immobiliare.it/en/annunci/107838119/,107838119
2024-01-03,porta-romana-medaglie-d-oro,"4-room flat via Carlo Botta 16, Porta Romana - Medaglie d'Oro, Milan",4,123m²,2,"€ 579,000",https://www.immobiliare.it/en/annunci/107843991/,107843991
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat via Giulio Romano, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 355,000",https://www.immobiliare.it/en/annunci/107835305/,107835305
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat excellent condition, fifth floor, Porta Romana - Medaglie d'Oro, Milan",2,60m²,1,"€ 480,000",https://www.immobiliare.it/en/annunci/107841481/,107841481
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat via Friuli 32, Porta Romana - Medaglie d'Oro, Milan",2,52m²,1,"€ 319,000",https://www.immobiliare.it/en/annunci/107804603/,107804603
2024-01-03,porta-romana-medaglie-d-oro,"Studio good condition, first floor, Porta Romana - Medaglie d'Oro, Milan",1,43m²,1,"€ 265,000",https://www.immobiliare.it/en/annunci/107772057/,107772057
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat excellent condition, first floor, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 360,000",https://www.immobiliare.it/en/annunci/107775249/,107775249
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat viale Monte Nero 8, Porta Romana - Medaglie d'Oro, Milan",2,95m²,2,"€ 419,000",https://www.immobiliare.it/en/annunci/107758557/,107758557
2024-01-03,porta-romana-medaglie-d-oro,"Penthouse excellent condition, 130 m², Porta Romana - Medaglie d'Oro, Milan",4,130m²,2,"€ 1,100,000",https://www.immobiliare.it/en/annunci/108384917/,108384917
2024-01-03,porta-romana-medaglie-d-oro,"2-room flat viale Sabotino 7, Porta Romana - Medaglie d'Oro, Milan",2,50m²,1,"€ 269,000",https://www.immobiliare.it/en/annunci/108127143/,108127143
2024-01-03,porta-romana-medaglie-d-oro,"3-room flat corso Lodi 34, Porta Romana - Medaglie d'Oro, Milan",3,90m²,1,"€ 599,000",https://www.immobiliare.it/en/annunci/107642613/,107642613
2024-01-03,porta-romana-medaglie-d-oro,"3-room flat viale Umbria 25, Porta Romana - Medaglie d'Oro, Milan",3,75m²,1,"€ 465,000",https://www.immobiliare.it/en/annunci/107643799/,107643799
